Flower_ID,Experiment,Species,Focal_Loc,Plant,Treatment,HP_time,PD_Loc,PD_plant,Date,Damage,Nectar_Out,Brix,Pollen_added_after_visit,Tube_Count
410,184,H.tortuosa,Pino_Colina,PC-TOR-05,HPNE,830,Pino_Colina,PC-TOR-02,20190315,L,0.5,NA,1,0
414,186,H.rostrata,Pino_Colina,PC-ROS-15,HPNE,900,Garden,G-ROS-02,20190315,L,25,25,0,1
422,189,H.wagneriana,Garden,G-WAG-04,HPNE,1000,Pino_Colina,PC-WAG-11,20190315,L,34,>32,0,4
445,200,H.tortuosa,Garden,G-TOR-14,HPNE,1030,Pino_Colina,PC-TOR-05,20190316,L,9,>32,0,0
455,205,H.wagneriana,Pino_Colina,PC-WAG-11,HPNE,730,Garden,G-WAG-03,20190320,L,8.5,>32,0,7
459,207,H.rostrata,Pino_Colina,PC-ROS-23,HPNE,800,Finca_del_Sol,FDS-ROS-01,20190320,L,18,29,0,1
463,209,H.tortuosa,Pino_Colina,PC-TOR-02,HPNE,900,Garden,G-TOR-20,20190320,M,11.5,31.4,0,0
468,211,H.wagneriana,Pino_Colina,PC-WAG-10,HPNE,930,Garden,G-WAG-03,20190320,L,25,30.6,0,0
470,212,H.tortuosa,Garden,G-TOR-13,HPNE,1000,PIno_Colina,PC-TOR-01,20190320,L,15.5,25,0,0
472,213,H.tortuosa,Garden,G-TOR-17,HPNE,1030,Garden,G-TOR-20,20190320,L,3,NA,0,2
477,214,H.tortuosa,Garden,G-TOR-06,HPNE,1100,Garden,G-TOR-20,20190320,H,4,NA,0,1
176,17_015,H.tortuosa,Garden,G-TOR-01,HP,600,Garden,G-TOR-02,20170218,NA,NA,NA,NA,0
229,17_043,H.tortuosa,Garden,G-TOR-02,HP,600,Garden,G-TOR-01,20170303,NA,NA,NA,NA,0
352,17_060,H.rostrata,Garden,G-ROS-02,HP,800,Pino_Colina,PC-ROS-01,20170317,NA,NA,NA,NA,0
497,17_056,H.hirsuta,Pino_Colina,PC-HIR-01,HP,730,Garden,G-HIR-01,20170316,NA,NA,NA,NA,0
499,17_053,H.wagneriana,Pino_Colina,PC-WAG-04,HP,900,Garden,G-WAG-01,20170314,NA,22,31.4,0,1
514,17_051,H.tortuosa,Garden,G-TOR-02,HP,600,Garden,G-TOR-01,20170313,NA,NA,NA,NA,0
542,17_051,H.tortuosa,Garden,G-TOR-01,HP,700,Garden,G-TOR-02,20170313,NA,NA,NA,NA,0
545,17_054,H.hirsuta,Pino_Colina,PC-HIR-03,HP,730,Garden,G-HIR-01,20170315,NA,NA,NA,NA,0
563,17_053,H.wagneriana,Garden,G-WAG-01,HP,1030,Pino_Colina,PC-WAG-01,20170314,NA,NA,NA,NA,0
564,17_055,H.wagneriana,Pino_Colina,PC-WAG-01,HP,730,Garden,G-WAG-01,20170315,NA,NA,NA,NA,1
567,17_053,H.wagneriana,Pino_Colina,PC-WAG-01,HP,930,Garden,G-WAG-01,20170314,NA,NA,NA,NA,1
602,17_051,H.tortuosa,Garden,G-TOR-02,HP,630,Garden,G-TOR-01,20170313,NA,NA,NA,NA,0
616,17_054,H.hirsuta,Pino_Colina,PC-HIR-05,HP,800,Garden,G-HIR-01,20170315,NA,NA,NA,NA,0
662,17_050,H.rostrata,Pino_Colina,PC-ROS-02,HP,730,Garden,G-ROS-02,20170308,NA,NA,NA,NA,0
722,17_048,H.rostrata,Pino_Colina,PC-ROS-01,HP,800,Garden,G-ROS-01,20170307,NA,NA,NA,NA,0
748,17_052,H.rostrata,Pino_Colina,PC-ROS-03,HP,800,Garden,G-ROS-02,20170314,NA,NA,NA,NA,0
755,17_048,H.rostrata,Garden,G-ROS-02,HP,1000,Pino_Colina,PC-ROS-03,20170307,NA,NA,NA,NA,1
762,17_052,H.rostrata,Pino_Colina,PC-ROS-01,HP,730,Garden,G-ROS-02,20170314,NA,NA,NA,NA,0
772,17_048,H.rostrata,Garden,G-ROS-02,HP,1000,Pino_Colina,PC-ROS-03,20170307,NA,NA,NA,NA,1
807,17_052,H.rostrata,Pino_Colina,PC-ROS-04,HP,700,Garden,G-ROS-02,20170314,NA,NA,NA,NA,0
35,14,H.rostrata,Garden,G-ROS-02,HP,1100,Pino_Colina,PC-ROS-06,20180217,L,NA,NA,NA,0
59,28,H.tortuosa,Garden,G-TOR-02,HP,1000,Garden,G-TOR-06,20180220,L,NA,NA,NA,1
61,29,H.tortuosa,Garden,G-TOR-02,HP,1030,Garden,G-TOR-06,20180220,L,NA,NA,NA,1
63,30,H.tortuosa,Garden,G-TOR-02,HP,1030,Garden,G-TOR-06,20180220,L,NA,NA,NA,0
79,38,H.tortuosa,Garden,G-TOR-02,HP,1030,Garden,G-TOR-07,20180224,L,NA,NA,NA,0
80,39,H.tortuosa,Garden,G-TOR-02,HP,1100,Garden,G-TOR-07,20180224,L,NA,NA,NA,0
86,42,H.rostrata,Garden,G-ROS-02,HP,1030,Roadside,RS-ROS-01,20180227,L,NA,NA,NA,1
149,74,H.rostrata,Garden,G-ROS-02,HP,1100,Pino_Colina,PC-ROS-11,20180311,L,NA,NA,NA,0
193,94,H.rostrata,Pino_Colina,PC-ROS-02,HP,1000,Garden,G-ROS-02,20180319,NA,NA,NA,NA,1
209,102,H.tortuosa,Garden,G-TOR-02,HP,1132,Garden,G-TOR-10,20180322,L,NA,NA,NA,0
214,103,H.tortuosa,Garden,G-TOR-01,HP,1100,Garden,G-TOR-02,20180323,L,NA,NA,NA,0
217,105,H.tortuosa,Garden,G-TOR-08,HP,1045,33,33-TOR-02,20180324,NA,NA,NA,NA,1
220,106,H.rostrata,Pino_Colina,PC-ROS-07,HP,900,Finca_del_Sol,FDS-ROS-01,20180325,NA,NA,NA,NA,0
222,107,H.rostrata,Pino_Colina,PC-ROS-02,HP,930,Finca_del_Sol,FDS-ROS-02,20180325,NA,NA,NA,NA,0
359,162,H.tortuosa,Garden,G-TOR-06,HP,800,Garden,G-TOR-02,20190305,L,NA,NA,NA,0
362,162,H.tortuosa,Garden,G-TOR-06,HP,800,Garden,G-TOR-02,20190305,L,NA,NA,NA,0
373,168,H.rostrata,Pino_Colina,PC-ROS-22,HP,730,Garden,G-ROS-01,20190311,L,NA,NA,NA,0
376,169,H.wagneriana,Pino_Colina,PC-WAG-09,HP,730,Garden,G-WAG-04,20190311,L,NA,NA,NA,3
379,171,H.rostrata,Pino_Colina,PC-ROS-19,HP,830,Garden,G-ROS-01,20190311,L,NA,NA,NA,0
381,172,H.tortuosa,Pino_Colina,PC-TOR-01,HP,900,Garden,G-TOR-15,20190311,L,NA,NA,NA,2
383,173,H.rostrata,Pino_Colina,PC-ROS-16,HP,900,Garden,G-ROS-01,20190311,L,NA,NA,NA,0
388,174,H.rostrata,Pino_Colina,PC-ROS-18,HP,1000,Pino_Colina,PC-ROS-07,20190311,L,NA,NA,NA,1
391,175,H.wagneriana,Pino_Colina,PC-WAG-01,HP,1030,Garden,G-WAG-04,20190311,H,NA,NA,NA,0
406,182,H.rostrata,Pino_Colina,PC-ROS-09,HP,800,Garden,G-ROS-04,20190315,L,NA,NA,NA,1
409,184,H.tortuosa,Pino_Colina,PC-TOR-05,HP,830,Pino_Colina,PC-TOR-02,20190315,L,NA,NA,NA,0
412,185,H.tortuosa,Pino_Colina,PC-TOR-07,HP,900,Pino_Colina,PC-TOR-08,20190315,M,NA,NA,NA,0
415,186,H.rostrata,Pino_Colina,PC-ROS-15,HP,900,Garden,G-ROS-02,20190315,L,NA,NA,NA,0
420,189,H.wagneriana,Garden,G-WAG-04,HP,1000,Pino_Colina,PC-WAG-11,20190315,L,NA,NA,NA,0
456,205,H.wagneriana,Pino_Colina,PC-WAG-11,HP,730,Garden,G-WAG-03,20190320,L,NA,NA,NA,0
457,206,H.wagneriana,Pino_Colina,PC-WAG-13,HP,730,Garden,G-WAG-03,20190320,L,NA,NA,NA,1
464,209,H.tortuosa,Pino_Colina,PC-TOR-02,HP,900,Garden,G-TOR-20,20190320,M,NA,NA,NA,0
467,211,H.wagneriana,Pino_Colina,PC-WAG-10,HP,930,Garden,G-WAG-03,20190320,L,NA,NA,NA,1
469,212,H.tortuosa,Garden,G-TOR-13,HP,1000,PIno_Colina,PC-TOR-01,20190320,L,NA,NA,NA,0
476,214,H.tortuosa,Garden,G-TOR-06,HP,1100,Garden,G-TOR-20,20190320,L,NA,NA,NA,1
385,173,H.rostrata,Pino_Colina,PC-ROS-16,PM,900,Garden,G-ROS-01,20190311,H,NA,NA,0,0
383,173,H.rostrata,Pino_Colina,PC-ROS-16,HP,900,Garden,G-ROS-01,20190311,L,NA,NA,NA,0
387,174,H.rostrata,Pino_Colina,PC-ROS-18,PM,1000,Pino_Colina,PC-ROS-07,20190311,L,NA,NA,0,0
388,174,H.rostrata,Pino_Colina,PC-ROS-18,HP,1000,Pino_Colina,PC-ROS-07,20190311,L,NA,NA,NA,1
430,193,H.rostrata,Pino_Colina,PC-ROS-23,PM,830,Finca_del_Sol,FDS-ROS-01,20190316,H,NA,NA,0,1
431,193,H.rostrata,Pino_Colina,PC-ROS-23,PM,830,Finca_del_Sol,FDS-ROS-01,20190316,L,NA,NA,0,0
429,193,H.rostrata,Pino_Colina,PC-ROS-23,HP,830,Finca_del_Sol,FDS-ROS-01,20190316,L,NA,NA,NA,1
433,194,H.rostrata,Pino_Colina,PC-ROS-15,PM,900,Finca_del_Sol,FDS-ROS-01,20190316,M,NA,NA,0,1
432,194,H.rostrata,Pino_Colina,PC-ROS-15,HP,900,Finca_del_Sol,FDS-ROS-01,20190316,L,NA,NA,NA,1
